Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2003 [YR2003],2006 [YR2006],2009 [YR2009],2012 [YR2012],2015 [YR2015],2018 [YR2018]
East Asia & Pacific (IDA & IBRD),TEA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.89527342959503,1.88033645112665,1.87236635974989,1.86818118237378,1.8695386335142,1.87351147751053,1.87531275614857
Euro area,EMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.47089340843436,1.4737679046925,1.52366545972244,1.56445019112123,1.55440972297305,1.54977660081832,1.52383483653529
Europe & Central Asia,ECS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.55697208207947,1.56951627991864,1.62008758622537,1.72138882743733,1.74003131565375,1.76491634364109,1.71921941697785
Europe & Central Asia (excluding high income),ECA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.64292665601484,1.67104137788261,1.704553255707,1.85567532775644,1.90500305128724,1.9748349438706,1.89835171579758
Europe & Central Asia (IDA & IBRD),TEC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.61652599275884,1.62979982630402,1.6658644415152,1.81499417071054,1.85512182586433,1.91764407446197,1.86029345331729
European Union,EUU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.44128713796333,1.43243670157818,1.49446128582065,1.5588667634345,1.53336478201988,1.5373395837111,1.54205939598711
Fragile and conflict affected situations,FCS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.44052561167664,5.29594098927544,5.15066298113557,4.99489263990343,4.83373407309355,4.65109508530543,4.46258181065134
Heavily indebted poor countries (HIPC),HPC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.06808625257244,5.87674988760382,5.6725329433962,5.44662367251766,5.20142514268811,4.94664616121261,4.69865319338864
High income,HIC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.70711028453039,1.66412345350711,1.71060058899355,1.71394426826184,1.69049688229795,1.66318804586239,1.59406817233529
IBRD only,IBD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.35721641781672,2.2821770066341,2.21934087392181,2.17290439198083,2.12871480163244,2.09821283034084,2.06742420964631
IDA & IBRD total,IBT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.88983300710995,2.80384343137169,2.73210634657219,2.67691657459548,2.62236162888296,2.58344779042624,2.54469353641608
IDA blend,IDB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.17993650867651,4.96033926934301,4.77927313403227,4.6195634830106,4.42940955426541,4.29054330930303,4.1335481494101
IDA only,IDX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.08699407139914,4.87032523589774,4.66201041542462,4.45710919032359,4.26403989471297,4.08380429552199,3.91585153154177
IDA total,IDA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.11775079262545,4.90017220881045,4.70095188257218,4.51113613542721,4.31910776782207,4.15259463489794,3.98809930210354
Late-demographic dividend,LTE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.72137374444232,1.69900495573066,1.68738688221595,1.70427396089613,1.71954909263579,1.74034879787143,1.74229729465541
Latin America & Caribbean,LCN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.62688993579543,2.45864798726911,2.31593689528245,2.21237021128243,2.14189305879683,2.08444986866009,2.02739306284088
Latin America & Caribbean (excluding high income),LAC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.64644007196052,2.47279808383753,2.32258857867405,2.2139098958093,2.14229468852552,2.0871786182497,2.03327997782894
Latin America & Caribbean (IDA & IBRD),TLA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.65533297365154,2.48330964534986,2.33596938728696,2.22788599075172,2.15419004034474,2.09569842281943,2.03849405008759
Least developed countries: UN classification,LDC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.20345235008658,4.98956314530571,4.77989071973288,4.57181514579802,4.37013454555877,4.1785555402039,4.00014577595758
Low & middle income,LMY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.90062038616592,2.81496473028794,2.74201375051706,2.68546944611901,2.63100892681925,2.59205936826887,2.55224474957263
Low income,LIC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.03728015795783,5.848174417239,5.63697858940042,5.39712576528783,5.14633995396536,4.89699939896906,4.65268884111613
Lower middle income,LMC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.45611532592706,3.2910540112687,3.14833802126487,3.01372564997948,2.88717944382276,2.79257688786467,2.71514734558344
Middle East & North Africa,MEA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.19350628199683,2.97930684647135,2.88404935141141,2.8860976455714,2.91068956606516,2.88941191929536,2.80892600122639
Middle East & North Africa (excluding high income),MNA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.15375409376191,2.94857894746241,2.86973297210821,2.89812605326657,2.95570298761973,2.96005395028116,2.8871307343527
Middle East & North Africa (IDA & IBRD),TMN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.13356935145369,2.93002034400033,2.8523750961165,2.88202792338236,2.94180608806416,2.9490514293318,2.87841414705087
Middle income,MIC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.67225987267224,2.58538540009926,2.51206161324188,2.45736741723574,2.40624804876249,2.3721642285613,2.33704751367292
North America,NAC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.00113771259636,1.99640380905906,2.05782608405753,1.969366048074,1.85409165382496,1.81895455100068,1.70616008218429
OECD members,OED,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.83389485391653,1.79092793664597,1.8149091687439,1.80607879349863,1.77317315175461,1.74850370199458,1.68665347384857
Other small states,OSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.63849483742547,3.49140382283783,3.37962494710402,3.28765530912628,3.19983751769879,3.12764454253784,3.04997554952617
Pacific island small states,PSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.86195726940208,3.73599365930227,3.63489240783317,3.57859715781714,3.57046422737667,3.5672095000278,3.51522427458484
Post-demographic dividend,PST,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.61628988547233,1.5972658409333,1.65965968867274,1.67212752876926,1.65253374414004,1.63292430033918,1.55122363723398
Pre-demographic dividend,PRE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.1063307313548,5.97475330827196,5.83068099430227,5.65743443246036,5.44030890865472,5.18937844443636,4.93972798066623
Small states,SST,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.37466648855881,3.24370379111989,3.14690802956696,3.07014193511161,2.99764062581352,2.93809344462045,2.87422486535531
South Asia,SAS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.50721477764956,3.28369797720313,3.06007522847628,2.82267069032602,2.611199416054,2.47007882516082,2.38474821139472
South Asia (IDA & IBRD),TSA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.50721477764956,3.28369797720312,3.06007522847628,2.82267069032602,2.611199416054,2.47007882516082,2.38474821139472
Sub-Saharan Africa,SSF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.75529308291301,5.6130469269867,5.47282756051299,5.31651497198753,5.1283182302173,4.91289045925515,4.69321312829709
Sub-Saharan Africa (excluding high income),SSA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.75582993196442,5.61355321127897,5.47327224146265,5.31686657404302,5.12861307555198,4.91314984110584,4.69342016968943
Sub-Saharan Africa (IDA & IBRD),TSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.75529308291301,5.6130469269867,5.47282756051299,5.31651497198753,5.1283182302173,4.91289045925515,4.69321312829709
Upper middle income,UMC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.86946120645447,1.83994672237414,1.81753354947586,1.82341166451206,1.83288673502189,1.84556753640807,1.8360022333434
World,WLD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.69627739852395,2.62496905781507,2.57726313569244,2.53429165672021,2.48892369255613,2.45543225373231,2.41495184624461
Afghanistan,AFG,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,3.80719375610352
Albania,ALB,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.39986896514893
Algeria,DZA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,7.42757177352905
American Samoa,ASM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Andorra,AND,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Angola,AGO,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,3.62558841705322
Antigua and Barbuda,ATG,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.32785415649414
Argentina,ARG,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.79666709899902
Armenia,ARM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.3281831741333
Aruba,ABW,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Australia,AUS,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.5158233642578
Austria,AUT,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.2909240722656
Azerbaijan,AZE,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.54385089874268
"Bahamas, The",BHS,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Bahrain,BHR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.98448848724365
Bangladesh,BGD,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.22562980651855
Barbados,BRB,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Belarus,BLR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Belgium,BEL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.2338237762451
Belize,BLZ,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Benin,BEN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,5.39248847961426
Bermuda,BMU,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Bhutan,BTN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Bolivia,BOL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.67932415008545
Botswana,BWA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,5.45873594284058
Brazil,BRA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Bulgaria,BGR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.91541481018066
Burkina Faso,BFA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,4.28995752334595
Burundi,BDI,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,5.66486501693726
Cabo Verde,CPV,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Cambodia,KHM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Cameroon,CMR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,5.09313011169434
Canada,CAN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.8244171142578
Cayman Islands,CYM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Central African Republic,CAF,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Chad,TCD,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,2.31434273719788
Channel Islands,CHI,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Chile,CHL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.70554733276367
China,CHN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.23676109313965
Colombia,COL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.59073734283447
Comoros,COM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,5.0314130783081
"Congo, Dem. Rep.",COD,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,4.33589172363281
"Congo, Rep.",COG,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,5.37640857696533
Costa Rica,CRI,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.53534030914307
Cote d'Ivoire,CIV,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,4.21960783004761
Croatia,HRV,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,10.9131736755371
Cuba,CUB,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Curacao,CUW,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Cyprus,CYP,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,10.9055271148682
Czech Republic,CZE,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.3946142196655
Denmark,DNK,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.4714860916138
Djibouti,DJI,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Dominica,DMA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.46479511260986
Dominican Republic,DOM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.91364192962646
Ecuador,ECU,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.90989017486572
"Egypt, Arab Rep.",EGY,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.77243995666504
El Salvador,SLV,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,7.69150304794312
Equatorial Guinea,GNQ,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Eritrea,ERI,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Estonia,EST,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.8030042648315
Eswatini,SWZ,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Ethiopia,ETH,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,4.27878093719482
Faroe Islands,FRO,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Fiji,FJI,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Finland,FIN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,12.2769508361816
France,FRA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.2410850524902
French Polynesia,PYF,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Gabon,GAB,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.2082691192627
"Gambia, The",GMB,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,5.18600177764893
Georgia,GEO,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.48947048187256
Germany,DEU,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.2860317230225
Ghana,GHA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,5.83620357513428
Gibraltar,GIB,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Greece,GRC,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,10.2435550689697
Greenland,GRL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Grenada,GRD,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.28743171691895
Guam,GUM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Guatemala,GTM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.2174506187439
Guinea,GIN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,3.94857859611511
Guinea-Bissau,GNB,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Guyana,GUY,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,7.01596689224243
Haiti,HTI,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.26985454559326
Honduras,HND,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.26761674880981
"Hong Kong SAR, China",HKG,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,12.3380708694458
Hungary,HUN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,10.7274236679077
Iceland,ISL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,10.9333524703979
India,IND,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.98165988922119
Indonesia,IDN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.09847259521484
"Iran, Islamic Rep.",IRN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.43418216705322
Iraq,IRQ,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,4.24267101287842
Ireland,IRL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.9699859619141
Isle of Man,IMN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Israel,ISR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.2632284164429
Italy,ITA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,10.8969583511353
Jamaica,JAM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,7.64113664627075
Japan,JPN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Jordan,JOR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.01914405822754
Kazakhstan,KAZ,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,12.0164051055908
Kenya,KEN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Kiribati,KIR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,7.45959424972534
"Korea, Dem. People's Rep.",PRK,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,12.3157024383545
Kosovo,XKX,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.06910037994385
Kuwait,KWT,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,7.88888502120972
Kyrgyz Republic,KGZ,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.79069709777832
Lao PDR,LAO,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.34678649902344
Latvia,LVA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.8333511352539
Lebanon,LBN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Lesotho,LSO,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Liberia,LBR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,2.18399834632873
Libya,LBY,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Liechtenstein,LIE,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Lithuania,LTU,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.5633735656738
Luxembourg,LUX,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.97618293762207
"Macao SAR, China",MAC,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.3364562988281
Madagascar,MDG,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,4.84533452987671
Malawi,MWI,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Malaysia,MYS,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.60183334350586
Maldives,MDV,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Mali,MLI,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,2.66634297370911
Malta,MLT,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,10.4342861175537
Marshall Islands,MHL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,5.32188081741333
Mauritania,MRT,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,4.15528297424316
Mauritius,MUS,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Mexico,MEX,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.91710948944092
"Micronesia, Fed. Sts.",FSM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.42887544631958
Moldova,MDA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.45910263061523
Monaco,MCO,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Mongolia,MNG,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.2112979888916
Montenegro,MNE,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.88395404815674
Morocco,MAR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.26231527328491
Mozambique,MOZ,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Myanmar,MMR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.7844762802124
Namibia,NAM,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Nauru,NRU,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Nepal,NPL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Netherlands,NLD,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.8534126281738
New Caledonia,NCL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
New Zealand,NZL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.4978752136231
Nicaragua,NIC,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.96400165557861
Niger,NER,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,2.44534373283386
Nigeria,NGA,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,4.98387432098389
North Macedonia,MKD,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.99830436706543
Northern Mariana Islands,MNP,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Norway,NOR,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.3299255371094
Oman,OMN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.29783248901367
Pakistan,PAK,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,4.766197681427
Palau,PLW,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.59907627105713
Panama,PAN,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.82751369476318
Papua New Guinea,PNG,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,5.66039037704468
Paraguay,PRY,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,6.90115451812744
Peru,PER,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.34506893157959
Philippines,PHL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.73092079162598
Poland,POL,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.6239776611328
Portugal,PRT,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,11.4746341705322
Puerto Rico,PRI,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,..
Qatar,QAT,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,9.11959171295166
Romania,ROU,"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,..,..,..,..,..,..,8.74332523345947
