Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2003 [YR2003],2006 [YR2006],2009 [YR2009],2012 [YR2012],2015 [YR2015],2018 [YR2018]
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Peru,PER,..,..,..,..,..,..,8.34506893157959
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Philippines,PHL,..,..,..,..,..,..,8.73092079162598
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Poland,POL,..,..,..,..,..,..,11.6239776611328
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Portugal,PRT,..,..,..,..,..,..,11.4746341705322
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Puerto Rico,PRI,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Qatar,QAT,..,..,..,..,..,..,9.11959171295166
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Romania,ROU,..,..,..,..,..,..,8.74332523345947
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Russian Federation,RUS,..,..,..,..,..,..,11.8311634063721
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Rwanda,RWA,..,..,..,..,..,..,4.07757425308228
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Samoa,WSM,..,..,..,..,..,..,7.01764249801636
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,San Marino,SMR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Sao Tome and Principe,STP,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Saudi Arabia,SAU,..,..,..,..,..,..,8.56523418426514
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Senegal,SEN,..,..,..,..,..,..,5.12693309783935
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Serbia,SRB,..,..,..,..,..,..,11.2858743667603
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Seychelles,SYC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Sierra Leone,SLE,..,..,..,..,..,..,4.66241502761841
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Singapore,SGP,..,..,..,..,..,..,13.0060482025147
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Slovak Republic,SVK,..,..,..,..,..,..,10.1739387512207
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Slovenia,SVN,..,..,..,..,..,..,11.8064918518066
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Solomon Islands,SLB,..,..,..,..,..,..,5.27785968780518
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Somalia,SOM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,South Africa,ZAF,..,..,..,..,..,..,5.80576181411743
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,South Sudan,SSD,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Spain,ESP,..,..,..,..,..,..,10.7497282028198
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Sri Lanka,LKA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,St. Kitts and Nevis,KNA,..,..,..,..,..,..,8.14675998687744
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,St. Lucia,LCA,..,..,..,..,..,..,8.56311988830566
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,St. Martin (French part),MAF,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,8.1140022277832
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Sudan,SDN,..,..,..,..,..,..,4.32574987411499
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Suriname,SUR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Sweden,SWE,..,..,..,..,..,..,11.8151588439941
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Switzerland,CHE,..,..,..,..,..,..,11.0957632064819
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Syrian Arab Republic,SYR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Tajikistan,TJK,..,..,..,..,..,..,7.48287439346313
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Tanzania,TZA,..,..,..,..,..,..,4.61734533309937
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Thailand,THA,..,..,..,..,..,..,8.98126316070557
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Timor-Leste,TLS,..,..,..,..,..,..,6.57290410995483
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Togo,TGO,..,..,..,..,..,..,5.59247493743896
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Tonga,TON,..,..,..,..,..,..,7.3278112411499
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Trinidad and Tobago,TTO,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Tunisia,TUN,..,..,..,..,..,..,6.77009439468384
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Turkey,TUR,..,..,..,..,..,..,8.88948535919189
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Turkmenistan,TKM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Tuvalu,TUV,..,..,..,..,..,..,6.06742858886719
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Uganda,UGA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Ukraine,UKR,..,..,..,..,..,..,10.1601781845093
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,United Arab Emirates,ARE,..,..,..,..,..,..,9.77793025970459
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,United Kingdom,GBR,..,..,..,..,..,..,11.4901657104492
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,United States,USA,..,..,..,..,..,..,10.8333539962769
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Uruguay,URY,..,..,..,..,..,..,8.87076854705811
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Uzbekistan,UZB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Vanuatu,VUT,..,..,..,..,..,..,5.5253734588623
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,"Venezuela, RB",VEN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Vietnam,VNM,..,..,..,..,..,..,11.0107984542847
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,West Bank and Gaza,PSE,..,..,..,..,..,..,8.35953617095947
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,"Yemen, Rep.",YEM,..,..,..,..,..,..,3.81997203826904
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Zambia,ZMB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Zimbabwe,ZWE,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Africa Western and Central,AFW,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Arab World,ARB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Caribbean small states,CSS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Early-demographic dividend,EAR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,East Asia & Pacific,EAS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,East Asia & Pacific (IDA & IBRD),TEA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Euro area,EMU,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Europe & Central Asia,ECS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Europe & Central Asia (IDA & IBRD),TEC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,European Union,EUU,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,High income,HIC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,IBRD only,IBD,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,IDA & IBRD total,IBT,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,IDA blend,IDB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,IDA only,IDX,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,IDA total,IDA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Late-demographic dividend,LTE,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Latin America & Caribbean,LCN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Latin America & Caribbean (IDA & IBRD),TLA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Low & middle income,LMY,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Low income,LIC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Lower middle income,LMC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Middle East & North Africa,MEA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Middle East & North Africa (IDA & IBRD),TMN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Middle income,MIC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,North America,NAC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,OECD members,OED,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Other small states,OSS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Pacific island small states,PSS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Post-demographic dividend,PST,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Pre-demographic dividend,PRE,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Small states,SST,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,South Asia,SAS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Sub-Saharan Africa (IDA & IBRD),TSS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,Upper middle income,UMC,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Female",HD.HCI.LAYS.FE,World,WLD,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Afghanistan,AFG,..,..,..,..,..,..,5.46374702453613
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Albania,ALB,..,..,..,..,..,..,8.34502792358398
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Algeria,DZA,..,..,..,..,..,..,6.69645929336548
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,American Samoa,ASM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Andorra,AND,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Angola,AGO,..,..,..,..,..,..,4.83345651626587
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Antigua and Barbuda,ATG,..,..,..,..,..,..,7.87092733383179
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Argentina,ARG,..,..,..,..,..,..,8.68136882781982
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Armenia,ARM,..,..,..,..,..,..,7.8404016494751
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Aruba,ABW,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Australia,AUS,..,..,..,..,..,..,11.3038673400879
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Austria,AUT,..,..,..,..,..,..,11.2629594802856
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Azerbaijan,AZE,..,..,..,..,..,..,9.22323322296143
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Bahamas, The",BHS,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Bahrain,BHR,..,..,..,..,..,..,9.07497787475586
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Bangladesh,BGD,..,..,..,..,..,..,5.7743124961853
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Barbados,BRB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Belarus,BLR,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Belgium,BEL,..,..,..,..,..,..,11.2443714141846
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Belize,BLZ,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Benin,BEN,..,..,..,..,..,..,5.88792276382446
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Bermuda,BMU,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Bhutan,BTN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Bolivia,BOL,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,8.6040735244751
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Botswana,BWA,..,..,..,..,..,..,4.70308113098145
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Brazil,BRA,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,British Virgin Islands,VGB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Brunei Darussalam,BRN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Bulgaria,BGR,..,..,..,..,..,..,9.69442081451416
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Burkina Faso,BFA,..,..,..,..,..,..,4.41545295715332
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Burundi,BDI,..,..,..,..,..,..,5.122971534729
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Cabo Verde,CPV,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Cambodia,KHM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Cameroon,CMR,..,..,..,..,..,..,5.485267162323
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Canada,CAN,..,..,..,..,..,..,11.7459392547607
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Cayman Islands,CYM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Central African Republic,CAF,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Chad,TCD,..,..,..,..,..,..,3.40603470802307
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Channel Islands,CHI,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Chile,CHL,..,..,..,..,..,..,9.6746711730957
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,China,CHN,..,..,..,..,..,..,9.10990333557129
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Colombia,COL,..,..,..,..,..,..,8.45673370361328
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Comoros,COM,..,..,..,..,..,..,5.12625169754028
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,4.73288059234619
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Congo, Rep.",COG,..,..,..,..,..,..,5.18525171279907
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Costa Rica,CRI,..,..,..,..,..,..,8.46972370147705
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Cote d'Ivoire,CIV,..,..,..,..,..,..,4.88156604766846
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Croatia,HRV,..,..,..,..,..,..,10.709508895874
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Cuba,CUB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Curacao,CUW,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Cyprus,CYP,..,..,..,..,..,..,10.9283847808838
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Czech Republic,CZE,..,..,..,..,..,..,11.2799825668335
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Denmark,DNK,..,..,..,..,..,..,11.2796087265015
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Djibouti,DJI,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Dominica,DMA,..,..,..,..,..,..,7.89644527435303
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Dominican Republic,DOM,..,..,..,..,..,..,6.45455980300903
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Ecuador,ECU,..,..,..,..,..,..,8.60152721405029
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,6.24020719528198
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,El Salvador,SLV,..,..,..,..,..,..,7.587721824646
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Equatorial Guinea,GNQ,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Eritrea,ERI,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Estonia,EST,..,..,..,..,..,..,11.5890035629272
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Eswatini,SWZ,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Ethiopia,ETH,..,..,..,..,..,..,4.69781637191772
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Faroe Islands,FRO,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Fiji,FJI,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Finland,FIN,..,..,..,..,..,..,11.8299837112427
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,France,FRA,..,..,..,..,..,..,11.1042518615723
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,French Polynesia,PYF,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Gabon,GAB,..,..,..,..,..,..,5.80859851837158
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Gambia, The",GMB,..,..,..,..,..,..,4.81980133056641
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Georgia,GEO,..,..,..,..,..,..,8.85399532318115
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Germany,DEU,..,..,..,..,..,..,11.2443723678589
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Ghana,GHA,..,..,..,..,..,..,5.81801652908325
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Gibraltar,GIB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Greece,GRC,..,..,..,..,..,..,9.91701126098633
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Greenland,GRL,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Grenada,GRD,..,..,..,..,..,..,7.23785305023193
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Guam,GUM,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Guatemala,GTM,..,..,..,..,..,..,6.1844916343689
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Guinea,GIN,..,..,..,..,..,..,5.26708126068115
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Guinea-Bissau,GNB,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Guyana,GUY,..,..,..,..,..,..,6.54274749755859
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Haiti,HTI,..,..,..,..,..,..,6.04396867752075
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Honduras,HND,..,..,..,..,..,..,6.00419998168945
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,11.7782726287842
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Hungary,HUN,..,..,..,..,..,..,10.6581735610962
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Iceland,ISL,..,..,..,..,..,..,10.4719944000244
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,India,IND,..,..,..,..,..,..,6.87292814254761
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Indonesia,IDN,..,..,..,..,..,..,7.77980661392212
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,7.98024606704712
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Iraq,IRQ,..,..,..,..,..,..,3.80146670341492
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Ireland,IRL,..,..,..,..,..,..,11.9479398727417
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Isle of Man,IMN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Israel,ISR,..,..,..,..,..,..,10.917501449585
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Italy,ITA,..,..,..,..,..,..,10.8895130157471
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Jamaica,JAM,..,..,..,..,..,..,6.74864053726196
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Japan,JPN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Jordan,JOR,..,..,..,..,..,..,7.08382940292358
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Kazakhstan,KAZ,..,..,..,..,..,..,11.591875076294
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Kenya,KEN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Kiribati,KIR,..,..,..,..,..,..,6.3203501701355
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,"Korea, Rep.",KOR,..,..,..,..,..,..,12.1857709884644
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Kosovo,XKX,..,..,..,..,..,..,7.76534032821655
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Kuwait,KWT,..,..,..,..,..,..,6.99153184890747
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Kyrgyz Republic,KGZ,..,..,..,..,..,..,8.49523830413818
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Lao PDR,LAO,..,..,..,..,..,..,6.2682318687439
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Latvia,LVA,..,..,..,..,..,..,11.2848720550537
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Lebanon,LBN,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Lesotho,LSO,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Liberia,LBR,..,..,..,..,..,..,2.22594594955444
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Libya,LBY,..,..,..,..,..,..,..
"Learning-Adjusted Years of School, Male",HD.HCI.LAYS.MA,Liechtenstein,LIE,..,..,..,..,..,..,..
